size,Triton (GB/s),Torch (GB/s)
4096.000000,9.423313,9.142857
8192.000000,18.285714,18.618181
16384.000000,37.463415,37.012049
32768.000000,73.580836,69.818181
65536.000000,138.067414,141.241379
131072.000000,273.066663,270.065929
262144.000000,468.114289,463.698115
524288.000000,822.627612,815.800825
1048576.000000,1332.935569,1310.719938
2097152.000000,1854.792461,1850.428211
4194304.000000,2404.990921,2473.056559
8388608.000000,2904.642710,2910.016743
16777216.000000,3243.018578,3253.079530
33554432.000000,3486.536984,3482.676964
67108864.000000,3603.870045,3604.902533
134217728.000000,3670.092554,3669.557270
