N,Triton1 (GB/s),Triton2 (GB/s),Torch (GB/s),Naive (GB/s)
256.000000,793.488374,564.710193,907.610500,249.207126
384.000000,1114.910657,835.827492,1099.609142,318.722611
512.000000,1418.003676,1101.442993,1287.141415,365.783899
640.000000,1558.042901,1270.996080,1329.001573,402.237012
768.000000,1756.463291,1499.588517,1485.942280,430.770057
896.000000,1936.802748,1725.438898,1619.256176,453.881339
1024.000000,2003.604410,1892.872853,1718.475358,476.140022
1152.000000,2090.947491,1983.970749,1520.296064,492.490414
1280.000000,2256.375551,2188.040532,1587.166303,501.935947
1408.000000,2356.627752,2312.527714,1676.136233,504.179169
1536.000000,2415.091734,2393.060105,1731.839084,501.763137
1664.000000,2463.343536,2429.318074,1812.124046,498.250741
1792.000000,2544.492111,2510.658732,1771.492185,492.832243
1920.000000,2592.042338,2554.409647,1819.938933,492.380657
2048.000000,2681.565770,2624.510422,1858.480582,493.377138
2176.000000,2606.974696,2636.820028,991.149695,492.210840
2304.000000,2662.275318,2712.741570,1044.677706,493.244974
2432.000000,2683.066761,2715.029550,1090.511794,493.788904
2560.000000,2765.574663,2759.126104,1125.889643,494.095820
2688.000000,2747.091776,2739.498122,1168.423578,495.144606
2816.000000,2749.921677,2746.918417,1205.848187,495.142531
2944.000000,2800.393344,2797.316876,1242.090222,496.114010
3072.000000,2851.779482,2825.179610,1277.847269,495.242558
3200.000000,2857.540204,2877.702103,1219.840486,495.197026
3328.000000,2907.954257,2910.349927,1262.082638,497.146414
3456.000000,2927.377415,2902.088551,1296.727205,498.003721
3584.000000,2939.839258,2954.772057,1326.504118,498.195224
3712.000000,2951.183053,2909.996086,1353.017353,499.276530
3840.000000,2974.061567,2961.204059,1385.339743,498.204593
3968.000000,2964.162784,2942.594099,1413.860796,497.064436
4096.000000,2945.093511,2959.283169,1436.636253,497.256263
4224.000000,2995.923717,2990.979465,1371.982196,496.651969
4352.000000,3000.315443,3013.435813,1404.278811,499.499130
4480.000000,3007.433201,3026.663555,1423.695981,500.836844
4608.000000,3030.691404,3045.518602,1453.638765,500.603477
4736.000000,3036.112351,3017.113644,1466.244915,500.660189
4864.000000,3047.086505,3057.397283,1468.182308,500.229635
4992.000000,3046.028155,3031.654859,1492.963865,500.357231
5120.000000,3055.942356,3061.045655,1525.677926,500.505904
5248.000000,3053.140220,3066.319544,1433.586484,501.932958
5376.000000,3090.445496,3081.997186,1461.776801,504.113893
5504.000000,3071.013317,3079.912242,1483.163197,504.764401
5632.000000,3119.231652,3117.704095,1480.202443,505.454016
5760.000000,3117.960658,3108.927204,1493.795750,505.661232
5888.000000,3120.367172,3105.172874,1495.997288,505.482458
6016.000000,3113.749253,3118.076256,1525.264523,505.861318
6144.000000,3141.706171,3135.149501,1508.565090,505.910421
6272.000000,3132.723205,3116.772325,1023.681163,506.132466
6400.000000,3155.436230,3159.008920,1036.426659,508.325680
6528.000000,3158.919360,3148.200592,1054.785454,509.085710
6656.000000,3146.159402,3154.090720,1060.725670,509.381754
6784.000000,3189.405228,3187.575431,1079.378820,509.954548
6912.000000,3184.786074,3177.933755,1089.210632,509.068345
7040.000000,3172.633881,3180.440524,1096.418063,510.067024
7168.000000,3178.527485,3169.704709,1100.421822,510.043223
7296.000000,3196.799002,3194.397059,1054.726536,510.751656
7424.000000,3206.647799,3199.992123,1075.946378,512.007160
7552.000000,3198.386743,3185.326186,1082.221276,512.417157
7680.000000,3211.642516,3208.701344,1103.456017,512.854153
7808.000000,3232.729040,3236.766804,1107.256262,512.919108
7936.000000,3240.539922,3232.347687,1117.053072,512.013080
8064.000000,3224.982470,3219.715099,1121.809864,513.506041
8192.000000,3206.654441,3182.373677,1135.538524,475.667303
8320.000000,3216.130481,1769.118815,1092.445370,473.587711
8448.000000,3244.875418,1775.676913,1104.033111,474.629422
8576.000000,3233.741891,1793.296257,1116.224217,474.870647
8704.000000,3231.864138,2279.668403,1126.951674,476.300661
8832.000000,3243.268938,2079.521101,1138.277193,477.700587
8960.000000,3240.878241,2099.041604,1147.453168,477.986334
9088.000000,3247.064406,2114.626903,1153.955704,479.615116
9216.000000,3258.952844,2379.189051,1160.123100,481.402071
9344.000000,3247.988366,2189.390284,1918.425949,482.933709
9472.000000,3275.501886,2214.731085,1929.971956,484.438535
9600.000000,3272.105495,2235.883583,1938.660073,485.677443
9728.000000,3253.420375,2461.466469,1931.568147,486.638137
9856.000000,3233.105819,2282.015698,1943.644204,487.608413
9984.000000,3237.922150,2307.591740,1967.820769,488.521601
10112.000000,3253.355679,2329.513627,1973.681735,489.929782
10240.000000,3267.487624,2639.697924,1986.679104,491.646945
10368.000000,3277.754977,2407.141463,1995.308305,489.599611
10496.000000,3270.976386,2429.564747,2000.213068,490.414445
10624.000000,3274.498668,2452.006735,2019.532716,490.968158
10752.000000,3277.452113,2612.431999,2040.969085,492.294229
10880.000000,3217.538763,2456.194940,2045.151615,492.164503
11008.000000,3220.668834,2482.510887,2061.868089,493.388830
11136.000000,3218.496681,2496.265530,2057.914687,494.037450
11264.000000,3229.079336,2685.667070,2067.363770,495.397677
11392.000000,3222.259284,2527.178195,2086.974917,496.443988
11520.000000,3227.769716,2538.279064,2091.951646,496.895093
11648.000000,3220.401993,2571.233831,2098.204686,498.301780
11776.000000,3226.397733,2675.773474,2121.831901,499.013679
11904.000000,3219.162061,2626.445376,2122.134097,500.347052
12032.000000,3231.648050,2648.058557,2131.758391,500.592040
12160.000000,3223.750324,2645.756241,2149.968892,501.180922
12288.000000,3244.230823,2676.067349,2019.557435,503.299173
12416.000000,3225.096674,2670.758886,1947.973416,501.240188
12544.000000,3250.741866,2700.361734,1927.916221,502.556637
12672.000000,3254.165175,2715.604199,1923.606685,502.321525
12800.000000,3271.094756,2711.761684,1921.537867,503.163021
25600.000000,2822.882157,2339.222588,2191.192836,534.022337
38400.000000,835.455163,2285.102917,2215.866333,542.902496
51200.000000,654.481766,2196.213400,2056.773127,549.174835
64000.000000,797.606197,2271.427276,1690.772800,553.390682
76800.000000,747.663253,2248.575603,1573.851527,535.771181
89600.000000,671.188641,2330.367333,1562.992989,557.811596
102400.000000,624.584958,2292.490883,1612.321260,558.743625
115200.000000,637.332772,2301.343887,1623.061495,558.987647
