M,N,K,Torch (TFLOPS),Triton1 (TFLOPS),Triton2 (TFLOPS),Triton3 (TFLOPS)
256.000000,256.000000,256.000000,5.041231,4.578935,4.639717,2.028194
384.000000,384.000000,384.000000,14.995525,13.716838,14.327709,5.390623
512.000000,512.000000,512.000000,29.537351,30.283782,30.283782,10.472669
640.000000,640.000000,640.000000,45.010988,42.778067,42.890053,17.156021
768.000000,768.000000,768.000000,62.914561,66.459040,67.569338,25.761194
896.000000,896.000000,896.000000,73.701142,74.433271,73.943582,36.226991
1024.000000,1024.000000,1024.000000,82.241256,85.055593,84.519981,48.279759
1152.000000,1152.000000,1152.000000,97.800910,85.773330,87.661913,62.207998
1280.000000,1280.000000,1280.000000,98.624530,102.080997,102.080997,77.972636
1408.000000,1408.000000,1408.000000,109.035523,103.290010,104.527759,95.802763
1536.000000,1536.000000,1536.000000,115.204684,116.748669,116.508443,115.616342
1664.000000,1664.000000,1664.000000,120.892186,117.345223,118.846544,71.668789
1792.000000,1792.000000,1792.000000,109.186878,114.468993,115.684007,83.177979
1920.000000,1920.000000,1920.000000,125.958999,128.632738,128.520631,95.771379
2048.000000,2048.000000,2048.000000,116.914396,127.311094,127.492494,109.498456
2176.000000,2176.000000,2176.000000,125.137335,126.913035,128.227146,123.957018
2304.000000,2304.000000,2304.000000,125.663637,127.338318,127.913641,94.261290
2432.000000,2432.000000,2432.000000,126.214074,128.349327,128.799834,105.026034
2560.000000,2560.000000,2560.000000,134.329493,129.983394,129.742149,116.728930
2688.000000,2688.000000,2688.000000,129.588743,131.754895,131.941061,128.573005
2816.000000,2816.000000,2816.000000,127.155128,133.747451,134.042897,107.036937
2944.000000,2944.000000,2944.000000,134.805832,135.955070,136.152397,116.968830
3072.000000,3072.000000,3072.000000,136.652158,138.368794,138.553951,127.162563
3200.000000,3200.000000,3200.000000,124.513615,133.385437,131.916263,110.571213
3328.000000,3328.000000,3328.000000,138.245406,135.337880,135.481150,119.574456
3456.000000,3456.000000,3456.000000,129.890756,138.339326,138.472984,129.143026
3584.000000,3584.000000,3584.000000,133.765347,135.036608,135.027106,116.244849
3712.000000,3712.000000,3712.000000,134.564535,138.152687,138.158659,124.550571
3840.000000,3840.000000,3840.000000,135.112875,135.927639,135.951132,133.389018
3968.000000,3968.000000,3968.000000,138.314827,138.841055,139.316610,122.452517
4096.000000,4096.000000,4096.000000,132.274944,137.518167,137.315922,130.585812
