size,triton_persis_true,triton_persis_false,torch
4096.000000,6.857143,6.857143,6.857143
8192.000000,13.714286,13.775785,13.714286
16384.000000,27.428571,27.428571,27.428571
32768.000000,54.857142,54.857142,54.857142
65536.000000,110.206280,110.206280,110.206280
131072.000000,219.428568,219.428568,220.412561
262144.000000,343.720286,440.825121,438.857137
524288.000000,682.666643,685.045290,687.440572
1048576.000000,1098.368745,1370.090580,1370.090580
2097152.000000,1445.647033,2240.547040,2240.547040
4194304.000000,1820.444441,3283.640854,3283.640854
8388608.000000,2092.966018,4279.901990,4279.901990
16777216.000000,2259.862060,5318.221273,5318.221273
33554432.000000,2412.830729,6052.386730,6052.386730
67108864.000000,2562.450370,6501.117182,6501.117182
134217728.000000,2574.377217,6748.679022,6748.679022
